央视,#genre#
CCTV-1,CCTV1&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000231.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000231?AuthInfo=xxx&userid=
CCTV-1,CCTV1&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000285.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000285?AuthInfo=xxx&userid=
CCTV-2,CCTV2&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000295.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000295?AuthInfo=xxx&userid=
CCTV-2,CCTV2&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000219.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000219?AuthInfo=xxx&userid=
CCTV-3,CCTV3&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000302.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000302?AuthInfo=xxx&userid=
CCTV-3,CCTV3&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000343.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000343?AuthInfo=xxx&userid=
CCTV-4,CCTV4&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000342.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000342?AuthInfo=xxx&userid=
CCTV-4,CCTV4&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000210.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000210?AuthInfo=xxx&userid=
CCTV-5,CCTV5&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000304.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000304?AuthInfo=xxx&userid=
CCTV-5,CCTV5&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000303.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000303?AuthInfo=xxx&userid=
CCTV-6,CCTV6&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000305.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000305?AuthInfo=xxx&userid=
CCTV-6,CCTV6&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000306.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000306?AuthInfo=xxx&userid=
